datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side
2026-07-17 09:56:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:57:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:58:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:59:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:00:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:01:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:02:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:03:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:04:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:05:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:06:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:07:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 10:08:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
