datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-07-22 09:38:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:40:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:42:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:44:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:46:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:48:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:50:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:52:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:54:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:56:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 09:58:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:00:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:02:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:04:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:06:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:08:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:10:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:12:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:14:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:16:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:18:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:20:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:22:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:24:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:26:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:28:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:30:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:32:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:34:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:36:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:38:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:40:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:42:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:44:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22 10:46:00,0.0,0.0,0.0,0.0,0,0,SENSEX,SENSEX23JUN2214000CE,69800.0,2026-08-06,OPT,CE,0.0,1.0,0.0,0.0,0.0,29.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
